La Fontaine Cuvier
Le Collège de France
Le berceau de l'Université
La place Maubert
La bibliothèque Sainte-Geneviève
Paul-Louis Courier
L'École Normale Supérieure
Église Saint-Nicolas-du-Chardonnet
Le marché aux chevaux
Le Château de la Tournelle
La Sorbonne
Ancienne École Polytechnique
Émile Durkheim
Charles Péguy
Collège des Écossais
Collège des Grassins
Les Bateaux-Omnibus
Collège des Irlandais
Rue de la Huchette
Le Jardin des Plantes
Cyrano de Bergerac
Rue Galande
Les Thermes du Nord
Eglise Saint-Jacques-du-Haut-Pas
Rue Mouffetard
Fondation Curie
Le Val de Grâce
Lycée Henri IV
Enceinte de Philippe Auguste
La porte Saint-Jacques
La tour de Calvin
La grande Mosquée de Paris
La porte Saint-Bernard
La faculté de Droit
Rue des Murs
L'Église Saint-Séverin
Saint-Benoît le Bétourné
Église Saint-Julien-le-Pauvre
Collège Sainte-Barbe
Institut du Monde Arabe
Ampère découvre l'électrodynamique
Hôtel Le Brun
Hôtel de Nesmond
L'Hôtel des Abbés de Cluny
L'Hôtel de Scipion Sardini
Dante rédige la Divine Comédie
La mairie du Ve arrondissement
Le Panthéon
Labbaye Saint-Victor
L'E.S.P.C.I.
Les avaleurs de nefs
Église Saint-Étienne du Mont
Le Pont au Double
Les Arènes de Lutèce
Le laboratoire de physique de l'E.N.S.
La porte Saint-Victor
Hôtel du duc dOrléans
Collège Coqueret et la naissance de la Pléiade
Hôtel de Laffemas
Église Saint-Médard
Les premiers paratonnerres
